,index,Stilling id,Stillingsbeskrivelse vasket,Registrert dato,Arbeidssted fylke,Arbeidssted land,Yrke grovgruppe
120,26362,9688484,"Jobbnorge ID: 145803. Til vår butikk. søker vi nå etter en kundefokusert og serviceinnstilt butikkmedarbeider i 50. vikariat. Arbeidstid vil hovedsakelig være kveld, i tillegg til annenhver helg. Det må også påregnes økt tilkalling i sesong og ellers ved behov. Varighet ut 31. august 2018, med mulighet for forlengelse. Som butikkmedarbeider vil dine sentrale arbeidsoppgaver være.  Kundeservice. Kassearbeid. Varepåfylling. Annet forefallende butikkarbeid. Hva ser vi etter. Engasjerte og positive butikkmedarbeidere med kunden i fokus. Du er arbeidsom og trives med fysisk butikkarbeid. Du jobber godt selvstendig og i team. Du er ærlig, pliktoppfyllende og ansvarsfull . Du er over 18 år og behersker norsk godt. Hva kan du forvente av oss. I. er vi opptatt av å ta vare på og utvikle våre talenter. Vi tilbyr gode utviklingsmuligheter gjennom blant annet vårt interne ledertreningsprogram, og årlige salg og service kurs. Vi er en trygg arbeidsgiver, og vi tilbyr konkurransedyktig betingelser. Søknad, CV og vedlegg sendes elektronisk via lenke på denne siden, ""Søk stillingen"". Søknadsfrist: 31. 01. 18. Se annonsen og søk på stillingen www. jobbnorge. no",2017-12-14,Nordland,Norge,Butikk- og salgsarbeid
121,26533,9589581,"SØKER BUTIKKMEDARBEIDER I 60. STILLING. Vi søker en serviceinnstilt person som elsker sko og det å selge. Vi tilbyr en spennende, variert og travel hverdag sammen med vårt team av dyktige medarbeidere. Søknadsfrist: 18. juni. For spørsmål ta kontakt med. mobil. , mail. . Send kortfattet søknad med CV på mail evt. lever den i Butikken. Skoringen er den største skobutikken i Mo og ligger i Gågata vis a vis AMFI og eies av B. som driver 7 andre Skobutikker i MidtNorge. ",2017-06-06,Nordland,Norge,Butikk- og salgsarbeid
122,26701,9645145,"Ønsker du utdanning i btikk. Ledig stilling som lærekandidat lærling. ingen krav til skole forkunnskap. Vi har i samarbeid med. ledig en stilling som lærekandidat lærling ve. Dvs en kombinasjon av jobb og utdanning. Det er stor fleksibilitet i hvordan læreløpet legges opp, så om du er interessert, ta kontakt snarest så legger vi en plan sammen. Kontaktperson opplæringskontoret. Har du spørsmål kan. på. kontaktes på tlf. .  eller e. post.  Søkeinformasjon. Søknad med CV sendes på e. post til .  For spørsmål og mer informasjon, ta kontakt med butikksjef. Tlf. .  Søknadsfrist: 15. okt. Omg. ",2017-10-03,Nordland,Norge,Butikk- og salgsarbeid
123,26832,9657506,". For å svare på markedets etterspørsel, trenger vår kunde flere bedriftsselgere til deres bedriftssatsning på Helgeland. i Rana. For godt etablert og markedsledende bedrift i sterk vekst søker vi fremoverlent og proaktiv selger. Bedriften har nærmere 70 ansatte og et salgsteam på 7 selgere. Videre har de sterkt fokus på god etikk og profesjonell framtoning. Du drives av salgsresultater, trigges av utfordringer, trives med aktivt salg, aktiv markedsføring og markedsansvar. Mye av dagen går i kundebesøk og oppsøkende aktivitet i SMB markedet. salget foregår for det meste ute hos kundene. Arbeidsoppgaver. Systematisk markedsføring og salg nåværende og nye kunder Bygge profesjonelt nettverk og kundeportefølje Gjennomføre presentasjoner av produkter løsninger hos kunder Holde foredrag og delta aktivt i næringsforeninger Utarbeide og skreddersy tilbud, delta aktivt i forhandlinger og kontraktsutarbeidelser Logging og enkel rapportering. Ønskede kvalifikasjoner. Har drevet med markedsføring og salg mot bedriftssegment Kan vise til gode oppnådde salgsresultater Meget god på kommunikasjon. muntlig og skriftlig Evner å jobbe strukturert og oppdatert på hva som skjer i ditt markedsområde. Personlige egenskaper. Drives av salg. trives med oppsøkende salg Proaktiv, profesjonell og engasjert Aktiv bidragsyter til et godt og positivt arbeidsmiljø Tillitsvekkende framtoning. du selger på tillit. Har konkurranseinstinkt og er målrettet Tør å ta ansvar og være aktiv medspiller internt og eksternt. Vi tilbyr. Konkurransedyktige lønnsbetingelser er en selvfølge Spennende arbeidsplass med mange muligheter Meget godt miljø med dyktige, kompetente og entusiastiske kolleger God produktopplæring og innføring i bedriftens tjenester Faglig støtte og veiledning og gode faglige utviklingsmuligheter Seriøs arbeidsgiver i sterk vekst Ordnede arbeidsforhold Stort ansvar og frihet til å påvirke utviklingen fremover Interne fagsamlinger og KickOff. Send CV og kortfattet søknad til Lin hos Back. vi gjennomgår søknader fortløpende. Tiltredelse er ønsket august eventuelt september. Alle henvendeler behandles konfidensielt inntil annet er avtalt med deg. Vi ser fram til å høre fra deg. ",2017-10-24,Nordland,Norge,Butikk- og salgsarbeid
124,26950,9686558,". Back. har siden 1997 vært en totalleverandør av rekrutterings. og bemanningsløsninger. Gjennom våre avdelingskontorer bemanner vi hele Norge. Vi har en solid kundeportefølje innen privat og offentlig sektor. Omsetningen i 2016 var 258 millioner og vi hadde over 2500 utleide medarbeidere hos våre kunder. Vi skal være den beste arbeidsgiver for våre medarbeidere og vårt overordnede mål er gjennomgående kvalitet i hele verdikjeden. For å svare på markedets etterspørsel, trenger vår kunde flere bedriftsselgere til deres bedriftssatsning på Helgeland. Arbeidssted er Mo i Rana. For godt etablert og markedsledende bedrift i sterk vekst søker vi fremoverlent og proaktiv selger. Bedriften har nærmere 70 ansatte og et salgsteam på 7 selgere. Videre har de sterkt fokus på god etikk og profesjonell framtoning. Du drives av salgsresultater, trigges av utfordringer, trives med aktivt salg, aktiv markedsføring og markedsansvar. Mye av dagen går i kundebesøk og oppsøkende aktivitet i SMB markedet. salget foregår for det meste ute hos kundene. Arbeidsoppgaver. Systematisk markedsføring og salg nåværende og nye kunder. Bygge profesjonelt nettverk og kundeportefølje. Gjennomføre presentasjoner av produkter løsninger hos kunder. Holde foredrag og delta aktivt i næringsforeninger. Utarbeide og skreddersy tilbud, delta aktivt i forhandlinger og kontraktsutarbeidelser. Logging og enkel rapportering. Ønskede kvalifikasjoner. Har drevet med markedsføring og salg mot bedriftssegment. Kan vise til gode oppnådde salgsresultater. Meget god på kommunikasjon. muntlig og skriftlig. Evner å jobbe strukturert og oppdatert på hva som skjer i ditt markedsområde. Personlige egenskaper. Drives av salg. trives med oppsøkende salg. Proaktiv, profesjonell og engasjert. Aktiv bidragsyter til et godt og positivt arbeidsmiljø. Tillitsvekkende framtoning. du selger på tillit. Har konkurranseinstinkt og er målrettet. Tør å ta ansvar og være aktiv medspiller internt og eksternt. Vi tilbyr. Konkurransedyktige lønnsbetingelser er en selvfølge. Spennende arbeidsplass med mange muligheter. Meget godt miljø med dyktige, kompetente og entusiastiske kolleger. God produktopplæring og innføring i bedriftens tjenester. Faglig støtte og veiledning og gode faglige utviklingsmuligheter. Seriøs arbeidsgiver i sterk vekst. Ordnede arbeidsforhold. Stort ansvar og frihet til å påvirke utviklingen fremover. Interne fagsamlinger og KickOffØnsker du å bli med på bedriftens reise mot nye høyder på Helgeland. Send CV og kortfattet søknad til Lin hos Back. lin. backup. personell. no. vi gjennomgår søknader fortløpende. Alle henvendeler behandles konfidensielt inntil annet er avtalt med deg. Vi ser fram til å høre fra deg. ",2017-12-12,Nordland,Norge,Butikk- og salgsarbeid
125,27254,9681604,". er et norsk konsern i sterk vekst, som i 2016 hadde en omsetning på nesten 2 milliarder. Selskapet ble etablert i 1995, og er i dag en av de ledende aktørene i Europa. leverer trygghet til sine kunder gjennom alarmløsninger til boliger og bedrifter. Selskapet har mer enn 479 000 kunder, og over 1700 medarbeidere i Norge, Sverige, Spania, Finland og Irland. I Norge har selskapet over 172 000 kunder og 600 medarbeidere. har gjennom fokus på riktige mennesker og gode konsepter, en sterk posisjon i sine markeder. I et selskap med en offensiv vekststrategi, tilbyr vi riktige mennesker spennende karrieremuligheter. Ser du etter et sted å starte din karriere. Hos oss er det store utviklingsmuligheter. har ledige heltids. og deltidsstillinger ved vår avdeling i Bodø. Vi ser etter deg som motiveres av gode resultater og muligheten til å hjelpe andre. Som salgskonsulent i. vil du reise på kundebesøk for å tilby brann. og tyverisikkerhet til privatmarkedet. Du vil på denne måten bistå mange hyggelige kunder med å sikre sin familie og sine eiendeler. Arbeidstiden vil være fra kl. 15. 00 til ca 21. 30 , så dette er en ypperlig mulighet for deg som vil jobbe på ettermiddag. og kveldstid. I. er vi opptatt av å ha et godt arbeidsmiljø og samhold, dette bidrar til å gjøre arbeidsdagen motiverende. Vi investerer mye i våre ansatte, og tilbyr blant annet salgskonkurranser hvor vinnerne får reise til destinasjoner som Miami,. , Dubai,. og Singapore. Vi kan tilby. grundig opplæring gjennom vårt utviklings. og opplæringsprogram. å arbeide med en meget sterk merkevare. motiverende lønnsbetingelser. gode karrieremuligheter i et internasjonalt firma i sterk vekst. For å lykkes vil du gjennom vårt utviklings. og opplæringsprogram,. , få full opplæring og videreutvikling. Vi ser etter deg som. ønsker å lykkes innen salg. trives med en variert arbeidshverdag. har noe salgserfaring,. har tilfredsstillende vandelsattest. har gode norskkunnskaper. er et vaktselskap krever vi tilfredsstillende vandel, og den vi ansetter må levere en uttømmende vandelsattest ved ansettelse. Vi vil bistå deg i denne prosessen. Høres dette ut som noe for deg. Send meg en søknad i dag, vi kaller inn til intervjuer fortløpende. ",2017-12-05,Nordland,Norge,Butikk- og salgsarbeid
126,27390,9675133,". er en internasjonal bilutleie kjede med 4500 utleiestasjoner i 105 land over hele verden. I Norge har vi 80 utleveringssteder og er tilstede på alle de store Norske flyplassene. Sixt i Norge har mer enn 40 års bilutleie erfaring og har drevet landsdekkende utleiekjede i 20 år. Sixt er verdens største BMW kunde og er kjent for å tilby premium biler i hele verden. Sixt er en premium utleiekjede med sterk fokus på service, kvalitet og sikkerhet. Arbeidssted: Harstad. Som utleierepresentant er du ansvarlig for å levere våre tjenester på en best mulig måte til våre kunder. Hverdagen består av utstrakt kundekontakt både ansikt til ansikt og pr. telefon og mail. Vi leverer en service hvor kundens behov alltid er i fokus. Logistikk, oversikt og kvalitet på bilflåte, bestillinger og leiekontrakter er kjernen i hverdagen. Yte utmerket kundeservice i alle situasjoner. Presentasjon og innsalg av våre produkter til kunde på en best mulig måte. Håndtere telefon og epost henvendelser. Organisere daglige reservasjoner i forhold til tilgjengelig flåte. Klargjøring av utleiebiler etter behov. Rapportering og annet forefallende kontorarbeid. Kvalifikasjoner. Som utleierepresentant er du den våre kunder møter hver dag. Du representere. og er genuint opptatt av service og trives med kundekontakt. Du stiller høye krav til våre produkter og hvordan vi presenterer disse, og ett ønske om å overgå kundens forventinger. Ved å leverer en premium opplevelse hver dag er du med å bygger Norges beste bilutleiekjede. Minimum førerkort klasse B. Genuin serviceinnstilling og gode mellommenneskelige ferdigheter. Strukturert og evne til å styre logistikk i en stadig skiftende hverdag. Flytende norsk engelsk muntlig og skriftlig. Datakunnskaper (. ). Vi tilbyr. Som ansatt i. vil du være del av en organisasjon med gode kolleger som alle ønsker å yte det beste for våre kunder. Som del av ett team vil din innsats utgjøre en forskjell, og verdsettes deretter. Vi har gode lønns. og arbeidsvilkår og ett trenings. og utvekslingsprogram alle våre ansatte følger. For den rette vil det også være utviklingsmuligheter innen organisasjonen. ",2017-11-23,Nordland,Norge,Butikk- og salgsarbeid
127,27476,9655427,". er et av landets ledende selskaper innen salgs. og demonstrasjonstjenester. Vi har siden 1994 utført tjenester for oppdragsgivere innen dagligvare og faghandel over hele landet. Vi representerer kjente merkevarer som Polarbrød, L'Oreal, Taga, Arla,. og SC Johnson m. fl. har nærmere 200 ansatte og omsetning på ca 130 mill. Har du lyst til å jobbe i et utviklende firma med mange spennende merkvarer. Har du konkurranseinstinkt og liker salg. Da kan dette være noe for deg. er på jakt etter en Selger med bosted i Lofoten. Stillingsandelen er ca 80. , men en må påregne at arbeidsmengden vil kunne variere etter hvilke oppdrag som skal utføres. Stillingen gir en viss grad av frihet til å legge opp arbeidsdagen selv (ikke kveldstid). Som selger vil du få hovedansvaret for flere sentrale varegrupper i både faghandels. og dagligvarebutikker, hvor du utøver både salg og eksponering. Noen av de oppdragsgiverne du vil jobbe med er L'Oreal, Polarbrød, SC Johnson,. , Ridderheims, Taga og. Arbeidsoppgaver .  Totalansvar for egne butikker. Innsalg av kampanjer og aktiviteter. Presentasjon og info om produkter og kampanjer. Bestilling og eksponering av varer. Oppfølging av sortiment og etablering av nyheter. Deltagelse på vareplasseringer og nyåpninger av butikker. Ønskede kvalifikasjoner. Erfaring fra dagligvare. eller faghandelsbransjen. Fleksibel, strukturert og løsningsorientert. Representabel. God muntlig framstillingsevne. For rette person tilbyr vi. God opplæring i et selskap i vekst og utvikling. Varierte arbeidsoppgaver for spennende oppdragsgivere. Deltagelse på nasjonale salgsmøter. Konkurransedyktige betingelser. inkl. telefonordning og km. godtgjørelse. Du må disponere egen bil. Stillingen rapporterer til Teamleder og du vil være en del av et større team i Nordland. Kortfattet CV og søknad sendes snarest til. Vi ser fram til å høre fra deg. ",2017-10-20,Nordland,Norge,Butikk- og salgsarbeid
128,27524,9664775,Vi søker etter medarbeidere til vårt bakeriutsalg i Mosjøen for snarlig tiltredelse. Erfaring innen matproduksjon. butikkarbeid. IK mat er å foretrekke.  ,2017-11-06,Nordland,Norge,Butikk- og salgsarbeid
129,28266,9585414,". er et heleid datterselskap av O. N. Sunde AS, som eies 100. av. med familie. Voice driver kjedekonseptene Match, VIC og Boys of Europe. Selskapet har ca 220 butikker i Norge og mer enn 1. 300 ansatte. Match har etablert seg som en av Norges største heleide kleskjede med hele 109 butikker. Kjeden har hatt enestående suksess de siste to årene, og under kjøpesenterkonferansen 2016 ble Match kåret til årets butikkjede, en utmerkelse som henger høyt og som Match er svært stolt over å motta. Kjeden tilbyr dame. og herreklær med høy kvalitet til verdi for pengene. I Match er service og kvalitet i fokus og det jobbes kontinuerlig med å sikre en optimal handleopplevelse for kunden. Vi søker en dyktig superselger med stort pågangsmot som trives med å jobbe mot felles mål. Du er imøtekommende av natur, sosial og har en stor interesse for mote og trender. Vårt mål er at alle våre kunder skal få en positiv handleopplevelse, og vi er stolte av å kunne tilby klær av høy kvalitet. Tilltredelse i mai. Ansvar og arbeidsoppgaver: . Bidra til eventyrlige salgstall og oppnåelse av budsjett. Yte til enhver tid den beste kundeservice i bransjen. Varehåndtering og oppfølging av salgsaktiviteter og kampanjer . Sørge for at man har det gøy på jobb. Personlige egenskaper:  . Resultatorientert og samarbeidsvillig med stor arbeidskapasitet. Kreativ og har evnen til å inspirer andre. Trives i et fartsfylt miljø. Kvalifikasjoner:  . Fullført videregående skole. Relevant arbeidserfaring kan kompensere for manglende utdannelse. Har gjerne salgserfaring fra tilsvarende bransje . Du må være fleksibel og kan jobbe på dag. og kveldstid, samt i helger og i ferien når butikken har behov . Vi tilbyr:  . En morsom og kreativ arbeidsplass. Gode karriere. og utviklingsmuligheter i et veletablert konsern . Tett oppfølging og support Link til søknadsskjema: Send søknad",2017-05-29,Nordland,Norge,Butikk- og salgsarbeid
130,28410,9610896,"Vil du arbeide med mote og ønsker en karriere i et stort internasjonalt moteforetak. Er du en selvstendig og selvgående person som får ting til å skje. Brenner du for mote og har vinnerinstinkt. Butikksjef er ansvarlig for butikkens fortjeneste, og for å oppnå budsjettert omsetning og resultat. Vedkommende vil lede og utvikle de ansatte i butikken, og påser at Lindex' konsept, visjon, verdier, policies og retningslinjer implementeres og følges. Butikksjef har ansvar for at den visuelle standarden er innfridd slik at butikken gir kundene en moteopplevelse i verdensklasse. Den som ansettes vil rapportere til regionsjef. Det forutsettes at du har følgende egenskaper og kvalifikasjoner.  	Er en resultatorientert og serviceinnstilt kremmer. 	Minimum har gjennomført og bestått 3. årig videregående skole, med studiekompetanse. 	Er en voksen person med gode samarbeidsevner, og som helst har noe tidligere ledererfaring. 	Er kommunikativ, intiativrik og tydelig. 	Har gode norsk. og engelskkunnskaper, både skriftlig og muntlig. 	Har gode datakunnskaper. Stillingen er på 37,5 time pr uke. Vi tilbyr en spennende arbeidsplass med gode utviklingsmuligheter og ordnede arbeidsforhold, gode forsikringsordninger og gunstige personalrabatter. Vil du vite mer om stillingen kan du ta kontakt med regionsjef. på telefon. Dersom du er interessert i stillingen, bes du sende inn din søknad via søknadsportalen på denne siden. Søknad uten attester og vitnemål vil ikke bli vurdert. Søknadsfrist 15. 08. 2017. Tiltredelse 01. 10. 2017. Søk på stillingen. ",2017-07-20,Nordland,Norge,Butikk- og salgsarbeid
131,28415,9609519,". Vi søker salgskonsulent til vår. i Narvik. Ve. er en mindre bedrift basert på Verisure konseptet. Med beliggenhet i nærhet av eksisterende og nye kunder, er de med på å gi trygghet og ikke minst god service. Du vil som salgskonsulent hos oss gi våre nye kunder en profesjonell og god sikkerhetsgjennomgang. Du er den som kartlegger kundens behov og sikrer at behovene alltid er godt ivaretatt av oss. Salg gjennomføres via bookede møter, kundeanbefalinger og gjennom oppsøkende salg. Du vil selge Verisure sine alarmløsninger til både bolig. og bedriftsmarkedet. Vi ser etter personer med pågangsmot og høy grad av serviceinnstilling. Videre er det viktig at du er ryddig og strukturert i din arbeidsform. Vi søker deg som er god på å skape gode kunderelasjoner, og gjerne har salgserfaring fra tidligere. Vi gir deg den profesjonelle salgsopplæringen du trenger for å lykkes hos oss. Vi har fokus på videreutvikling av våre salgskonsulenter i form av jevnlige salgstreninger, kurs og opplæringsmoduler. Som salgskonsulent hos vår. , vil du etter opplæring på vårt hovedkontor i Oslo, være spesialist på Verisure alarmsystemer og sikkerhet i hjemmet. Hos oss får du fastlønn, i tillegg til at vi har gode provisjon og bonusmodeller. Stillingen krever at du har tilfredsstillende vandel, da vår virksomhet er regulert i Lov om Vaktvirksomhet. Førerkort klasse B er et krav, og det er ønskelig at du disponerer egen bil. Du må kunne kommunisere godt på norsk til våre kunder. Nå har du sjansen til å bli en del av Norges, og Europas ledende alarmselskap. Send inn søknad og CV allerede i dag. Søkere blir vurdert fortløpende. Ta kontakt med daglig leder . på mob. nr. dersom du har spørsmål. Link til søknadsskjema: Send søknad",2017-07-14,Nordland,Norge,Butikk- og salgsarbeid
132,28515,9565640,"Utleie, vasking og flytting av leiebiler",2017-04-24,Nordland,Norge,Butikk- og salgsarbeid
133,28556,9566789,"stillingene er på deltid og mest i tidsrommet kl. 16:00. 20:00, i. ferier og ved behov. vi trenger 1 ekstrahjelp maling, 1 til byggevare. jernvare, 2 til kassen og 2 til lageret. Totalt 6 ekstrahjelper. Du: Trives med kundebehandling. Liker å ta i et tak og er løsningsorientert. Er sosial og engasjert. Har erfaring fra tilsvarende jobb, stor fordel. Er helst over 20 år. Vi vil gi deg: En verktøykasse full av glade kollegaer. Kunnskap og erfaring. Lønn etter avtale. Interne karrieremuligheter. Er du den vi leter etter. Søknadsfrist 5. mai 2017. Har du spørsmål om stillingen, ta kontakt med daglig leder. , tlf. Søknad med CV sendes til. Enhver søknad behandles konfidensielt. ",2017-04-25,Nordland,Norge,Butikk- og salgsarbeid
134,28719,9520886,"Til våre trivelige lokaler midt i Bodø sentrum søker vi en selger til å markedsføre våre produkter og tjenester til næringslivet i Norge. Business søkemotoren, Purehelp. no, er i dag over 14 år gammel og var et pionerprodukt i internettets første fase. Tjenesten er et vinnerprodukt i sitt markedssegment med stabile kunder, spennende partneravtaler og høy trafikk som dokumenteres av TNS Gallup. Alle som prøver vår søkemotor for første gang opplever svært høy nytte. og brukerverdi. Våre produkter er populære og lettsolgte, så du trenger ikke å ha hatt lang fartstid innen salgsyrket. Selgerstillingen passer således godt for alle som er åpne for både å lære salg og søkemotor markedsføring. Vi har veldig god erfaring med ansatte som tidligere har jobbet innenfor mange forskjellige yrkesgrupper, og gir god opplæring som er skreddersydd for produktet og stillingen. Alle kan lære salg. Vi ønsker at du. Har den riktige innstillingen. Er positiv, blid og omgjengelig. Har god muntlig fremstillingsevne. Har erfaring med internett. Krav til kompetanse. Norsk språk. Vi kan tilby. Salg til både nye og eksisterende kunder. Opplæring, veiledning og oppfølging innen salgsyrket. Mulighet for både å jobbe i team og individuelt. Meget gode lønnsbetingelser (fastlønn. provisjon). 5 ukers ferie. Mulighet til å selge et produkt som alle i et proaktivt næringsliv burde ha tilgang til. Alder eller tidligere jobberfaring innen andre fagområder er ingen hindring.  Vi kan også tilby tilrettelagt arbeidsforhold arbeidstid for særskilte behov. Kontakt oss for en samtale i dag så kan vi diskutere mulighetene sammen. SEND SØKNAD. ",2017-01-31,Nordland,Norge,Butikk- og salgsarbeid
135,28859,9520273,"Vi søker etter medarbeidere til våre bakeriutsalg, Stillingene er ved våre utsalg i Mosjøen, Sandnessjøen, Brønnøysund og Mo I Rana. Utsalgene skal åpne i perioden april. mai 2017. Vi skal forskyne Helgeland med ferske brød, bakevarer og kaker. Erfaring innen matproduksjon. butikkarbeid. IK mat er å foretrekke. Mosjøen 100. Mo i Rana 100. Sandnessjøen 75. Brønnøysund 75.  ",2017-01-30,Nordland,Norge,Butikk- og salgsarbeid
136,29385,9578473,"Les mer om stillingen og finn søknadsskjema på scania. no, eller send søknad via epost til. Har du ytterligere spørsmål, kontakt. på tlf. Søknadsfrist 31. mai 2017. ",2017-05-15,Nordland,Norge,Butikk- og salgsarbeid
137,29789,9558033,"Vi søker inneselger med god forretningsforståelse og med et grønt blikk for gode løsninger. Inneselger VVS Svolvær. Arbeidsoppgaver og ansvar.  Utvikle og ivareta en lønnsom kundeportefølje. Utarbeide tilbud. Ordre. og prosjektoppfølging mot kunder. Arbeide med kundespesifikke løsninger i samarbeid med våre leverandører. Tett samarbeid med uteselgerne i distriktet. Inngå som en del av bemanningen på avdeling Svolvær for å ivareta butikk og lager. Erfaringer og egenskaper.  Vi foretrekker at du har erfaring og kunnskap fra VVS bransjen, helst også teknisk kompetanse og forutsetter at du har evne til å se økonomien i et salg og applauderer salgserfaring innen faget. Du må evne å takle en arbeidshverdag der fokuset er strukturert ordre. prosjektoppfølging. For å lykkes tror vi du.  Er selvstendig og god til å se nye muligheter. Er kvalitetsbevisst og nøyaktig. Er kontaktskapende og i stand til å jobbe med en variert kundemasse. Er effektiv og fleksibel. Stillingen rapporterer til. Narvik Bodø. Tiltredelse: Snarest eller etter avtale. Spørsmål om stillingene kan rettes til. Narvik Bodø. mob. eller på mail. Søknadsfrist: 23. april 2017",2017-04-05,Nordland,Norge,Butikk- og salgsarbeid
138,30015,9592033,". SSP. er en ledende operatør av mat og drikke brands på reiselokasjoner i hele verden. SSP har over 60 års erfaring med å servere reisende gjennom en portefølje av internasjonale og nasjonale brands og konsepter som er skreddersydd for lokale behov. SSP har for tiden virksomhet i 29 land. I Norge har vi bortimot 2000 ansatte. Vi driver spisesteder, kiosker og flycatering fordelt på 15 lufthavner, 3 jernbanestasjoner, i ett butikksenter og ett kontorbygg. Totalt har SSP Norge over 70 utsalgssteder. Vi er kundefokusert og lidenskapelig opptatt av mat. Vi henter inspirasjon overalt og feirer vår suksess. Hver og en av våre medarbeidere utgjør forskjellen. Vi søker sprudlende salgsmedarbeider i 50. stilling til flott. butikk på. sin flotte. butikk søker vi medarbeider i en 50. stilling. Er du en dyktig selger, med interesse for parfyme og kosmetikk. Er du i tillegg en sprudlende strukturert person som er serviceinnstilt, utadvendt og som har evnen til å jobbe selvstendig. Da bør du søke på denne jobben. Du må være. blid og imøtekommende. en god selger som setter kundene i fokus. fleksibel. strukturert og ryddig. lærevillig. relevant arbeidserfaring, gjerne fra butikk. god helse og fysisk form. trives med å jobbe i et hektisk miljø. fremlegge plettfri vandelsattest. Vi kan tilby. En jobb i flott omgivelser på ett spennende og hektisk arbeidssted. Ordnede arbeidsforhold og ett godt arbeidsmiljø. Lønn etter tariff. Skiftarbeid mellom 06:15. 21:00, og jobb annen hver helg. Det kan også være aktuelt med vakter i. butikken på lufthavna. Søknadsfrist: 25. juni 2017. Tiltredelse. Etter avtale.  Vi vil begynne å intervjue kandidater umiddelbart. Send din søknad med CV gjennom det elektroniske søknadsskjemaet tilknyttet annonsen på våre hjemmesider www. ssp. noLink til søknadsskjema: Send søknad",2017-06-09,Nordland,Norge,Butikk- og salgsarbeid
139,30127,9559239,"CMYK CITY NORD. Vi leter etter den rette personen til å bli en del av et av våre glade, entusiastiske butikkteam i. CMYK Accessories. Brenner du for salg og kundeservice. Er du en stå. på. person med glimt i øyet. Da må du lese videre. CMYK er en accessories kjede med 23 butikker i Norge. Hos oss finner du det lekreste innenfor vesker, smykker, hårpynt, skjerf og klokker. Les mer om oss på www. cmykaccessories. no. RINGEHJELP. Til vår butikk på. søker vi etter en dyktig person som er god på kundeservice og personlig salg. Det er meget viktig at du er fleksibel og du bør kunne jobbe både dagtid, kveld og helg, samt ekstra i ferier. Stillingen innebærer ingen faste vakter i måneden. Ringehjelpen vil jobbe etter behov og avtale. Vi ser etter deg som.  Er dyktig på salg og kundeservice. Har stor interesse for moter og trender. Er selvstendig, positiv, fleksibel og løsningsorientert. Har et stort konkurranseinstinkt og som står på til målet er nådd. Har gode samarbeidsevner og som bidrar til å skape et positivt miljø både for kunder og kolleger. Erfaring fra detaljhandel er ønskelig, men ikke et krav. Du må være fylt 18 år. Om du kjenner deg igjen i beskrivelsen og er klar for masse spennende utfordringer, send søknad og CV til. eller lever søknad i butikk til butikksjef Carmen. NB: Merk e. posten med ""ringehjelp"". Intervjuer vil bli holdt fortløpende. Tiltredelse: Snarest. Søknadsfrist: Snarest. ",2017-04-06,Nordland,Norge,Butikk- og salgsarbeid
140,30481,9552770,"DYKTIG SELGER. Les mer på www. personalhuset. no, under ledig stilling. Nordland",2017-03-28,Nordland,Norge,Butikk- og salgsarbeid
141,30600,9521856,". Grunnet økt etterspørsel etter våre produkter er det behov for å styrke oppfølgingen av våre nåværende kunder i. , samt aktivt arbeide overfor de oppdretterne som har lite eller ingen erfaring med BioMar som fôrleverandør. Arbeidsområdet vil i all hovedsak være Nordland og deler av Troms. Kontorsted er primært ved vår fabrikk på Myre i Vesterålen. Oppgavene som skal løses.  Dette er en allsidig og selvstendig jobb med hovedfokus på kundebearbeidelse av både eksisterende og nye kunder. I dette inngår det å kunne gi kundene god og relevant veiledning om bruken av BioMar. s produkter, samt være kundens diskusjonspartner. Du setter egne salgsmål sammen med nærmeste overordnede, setter i verk planer og tiltak og rapporterer oppnådde resultater. Jobben innebærer tilstedeværelse ute hos kundene og du påregne 40. 50 reisedøgn i året. Administrativt arbeid som å registrere og vedlikeholde data i CRM, levere månedlige prognoser, samt behandle eventuelle reklamasjoner fra egne kunder, er også viktige arbeidsoppgaver som i sum bidrar til å oppnå en høy kundetilfredshet. Rapportering av biologiske data internt for å verifisere den ytelsen BioMar's produkter gir, er også et viktig bidrag for å gjøre oss stadig bedre. Hva skal til for å lykkes. Vi ser etter søkere med høyere utdannelse innenfor biologi, akvakultur og med praktisk erfaring fra havbruksnæringen. Har du fagbrev fra akvakultur kombinert med lang og relevant erfaring fra merdkanten, kompenserer dette for eventuelt manglende høyere utdannelse. Hvis du i tillegg er født med en kremmer i deg. og kan vise til gode resultater, om ikke nødvendigvis innenfor salg, så er dette en egenskap som verdsettes. Struktur, analytiske evner og målrettet arbeid er egenskaper som trengs for å lykkes. Å levere fôr til oppdrettsnæringen krever samarbeid og evner til å bygge langsiktige og tillitsfulle relasjoner. Du må ha et sterkt engasjement for oppdrettsnæringen og være utholdende. Gode presentasjons. og formidlingsevner, også på engelsk. Hva kan vi tilby. BioMar er en dynamisk organisasjon med korte beslutningsveier og stor mulighet for å påvirke bedriftens utvikling. Vi har et positivt miljø med gode kolleger som alle er med på å skape en trygg arbeidsplass i en av Norges viktigste næringer. Vi kan selvsagt tilby konkurransedyktige betingelser, inkludert bilordning, gode forsikrings. og pensjonsordninger, samt bedriftshelsetjeneste. Hvis dette høres interessant ut, så sender du en søknad via søknadslinken. Er det noe du lurer på, ta kontakt med vår rådgiver. hos. Partner as på telefon. For fullstendig stillingsannonse og elektronisk søknadsskjema klikk her",2017-02-02,Nordland,Norge,Butikk- og salgsarbeid
